"SECONDS";"PID";"VALUE";"UNITS";
"31975.23218";"[BMS] Accumulated charge energy";"4988";"kWh";
"31975.34218";"[BMS] Accumulated discharge energy";"4963";"kWh";
"31975.65918";"[VCU] Vehicle speed";"0";"km/h";
"31975.65918";"Vehicle acceleration";"0";"g";
"31976.08118";"[BMS] Lowest voltage cell #";"200";"";
"31976.29918";"[BMS] State of charge actual";"77.3";"%";
"31976.77118";"Altitude (GPS)";"2.40000009536743";"m";
"31976.77118";"Average speed (GPS)";"2.47907039612909E-06";"km/h";
"31976.77118";"Speed (GPS)";"0";"km/h";
"31976.86718";"[VCU] Odometer";"18184.6";"km";
"31977.14718";"[BMS] Battery total current";"1.5";"A";
"31977.36318";"[BMS] Battery total voltage";"664";"V";
"31977.36318";"HV EV Battery Power";"0.996";"kW";
"31977.44418";"Altitude (GPS)";"10.4681091308594";"m";
"31977.44418";"Average speed (GPS)";"2.05046733190025E-06";"km/h";
"31977.44418";"Speed (GPS)";"0";"km/h";
"31977.46818";"[BMS] Lowest temperature cell value";"30";"℃";
"31977.70218";"[BMS] Highest temperature cell value";"31";"℃";
"31977.95018";"[VCU] Engine coolant temperature";"40";"℃";
"31978.07618";"[LVBMS] 12V Battery voltage";"13.7";"V";
"31978.25518";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"31978.36918";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"31978.47518";"[BMS] Accumulated charge energy";"4988";"kWh";
"31978.61018";"[BMS] Accumulated discharge energy";"4963";"kWh";
"31979.00518";"[VCU] Vehicle speed";"0";"km/h";
"31979.00518";"Distance travelled";"0";"km";
"31979.00518";"Distance travelled (total)";"0";"km";
"31979.00518";"EV Instant Energy Consumption";"0";"km/kWh";
"31979.00518";"Vehicle acceleration";"0";"g";
"31979.22518";"[BMS] Lowest voltage cell #";"200";"";
"31979.34018";"[BMS] Lowest voltage cell value";"3.315";"V";
"31979.77418";"[BMS] Highest voltage cell #";"3";"";
"31979.97118";"[BMS] Highest voltage cell value";"3.32";"V";
"31980.08618";"[BMS] Charge times";"185";"";
"31980.29418";"[BMS] Times off full power [second-rate]";"38";"";
"31980.54118";"[BMS] State of charge actual";"77.3";"%";
"31980.78118";"[VCU] Odometer";"18184.6";"km";
"31980.93818";"[BMS] Battery total current";"1.5";"A";
"31981.05418";"[BMS] Battery total voltage";"664";"V";
"31981.05418";"HV EV Battery Power";"0.996";"kW";
"31981.11918";"[BMS] Lowest temperature cell value";"30";"℃";
"31981.18318";"[BMS] Highest temperature cell value";"31";"℃";
"31981.30818";"[VCU] Engine coolant temperature";"40";"℃";
"31981.42418";"[LVBMS] 12V Battery voltage";"13.7";"V";
"31981.61218";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"31981.87818";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"31981.98118";"[BMS] Accumulated charge energy";"4988";"kWh";
"31982.10418";"[BMS] Accumulated discharge energy";"4963";"kWh";
"31982.22718";"[VCU] Vehicle speed";"0";"km/h";
"31982.22718";"Average speed";"0";"km/h";
"31982.22718";"Distance travelled";"0";"km";
"31982.22718";"Distance travelled (total)";"0";"km";
"31982.22718";"EV Instant Energy Consumption";"0";"km/kWh";
"31982.22718";"Vehicle acceleration";"0";"g";
"31982.39218";"[BMS] Lowest voltage cell #";"110";"";
"31982.64318";"[BMS] Lowest voltage cell value";"3.315";"V";
"31982.75618";"[BMS] Highest voltage cell #";"3";"";
"31982.84018";"[BMS] Highest voltage cell value";"3.32";"V";
"31982.95618";"[BMS] Charge times";"185";"";
"31983.06918";"[BMS] Times off full power [second-rate]";"38";"";
"31983.17218";"[BMS] State of charge actual";"77.3";"%";
"31983.37918";"[VCU] Odometer";"18184.6";"km";
"31983.66818";"[BMS] Battery total current";"1.5";"A";
"31983.77518";"[BMS] Battery total voltage";"664";"V";
"31983.77518";"HV EV Battery Power";"0.996";"kW";
"31983.89918";"[BMS] Lowest temperature cell value";"30";"℃";
"31984.02218";"[BMS] Highest temperature cell value";"31";"℃";
"31984.15918";"[VCU] Engine coolant temperature";"40";"℃";
"31984.27618";"Altitude (GPS)";"2.40000009536743";"m";
"31984.27618";"Average speed (GPS)";"7.4467393676704E-07";"km/h";
"31984.27618";"Speed (GPS)";"0";"km/h";
"31984.28718";"Altitude (GPS)";"2.40000009536743";"m";
"31984.28718";"Average speed (GPS)";"7.43946347042003E-07";"km/h";
"31984.28718";"Speed (GPS)";"0";"km/h";
"31984.41618";"[LVBMS] 12V Battery voltage";"13.7";"V";
"31984.45418";"Altitude (GPS)";"10.4647521972656";"m";
"31984.45418";"Average speed (GPS)";"7.3255991575166E-07";"km/h";
"31984.45418";"Speed (GPS)";"0";"km/h";
"31984.66418";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"31984.77818";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"31984.86118";"[BMS] Accumulated charge energy";"4988";"kWh";
"31984.97318";"[BMS] Accumulated discharge energy";"4963";"kWh";
"31985.20018";"[VCU] Vehicle speed";"0";"km/h";
"31985.20018";"Average speed";"0";"km/h";
"31985.20018";"Distance travelled";"0";"km";
"31985.20018";"Distance travelled (total)";"0";"km";
"31985.20018";"EV Instant Energy Consumption";"0";"km/kWh";
"31985.20018";"Vehicle acceleration";"0";"g";
"31985.52218";"[BMS] Lowest voltage cell #";"200";"";
"31985.77918";"[BMS] Lowest voltage cell value";"3.317";"V";
"31985.98618";"[BMS] Highest voltage cell #";"3";"";
"31986.06918";"[BMS] Highest voltage cell value";"3.321";"V";
"31986.16218";"[BMS] Charge times";"185";"";
"31986.37818";"[BMS] Times off full power [second-rate]";"38";"";
"31986.61318";"[BMS] State of charge actual";"77.3";"%";
"31986.77718";"[VCU] Odometer";"18184.6";"km";
"31986.93218";"[BMS] Battery total current";"0";"A";
"31987.04118";"[BMS] Battery total voltage";"664";"V";
"31987.04118";"HV EV Battery Power";"0";"kW";
"31987.16618";"[BMS] Lowest temperature cell value";"30";"℃";
"31987.32918";"[BMS] Highest temperature cell value";"31";"℃";
"31987.45218";"[VCU] Engine coolant temperature";"40";"℃";
"31987.58518";"[LVBMS] 12V Battery voltage";"13.5";"V";
"31987.80118";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"31987.92318";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"31988.04618";"[BMS] Accumulated charge energy";"4988";"kWh";
"31988.21018";"[BMS] Accumulated discharge energy";"4963";"kWh";
"31988.40418";"[VCU] Vehicle speed";"0";"km/h";
"31988.40418";"Average speed";"0";"km/h";
"31988.40418";"Distance travelled";"0";"km";
"31988.40418";"Distance travelled (total)";"0";"km";
"31988.40418";"Vehicle acceleration";"0";"g";
"31988.60118";"[BMS] Lowest voltage cell #";"110";"";
"31988.68818";"Altitude (GPS)";"2.40000009536743";"m";
"31988.68818";"Average speed (GPS)";"5.27677485290562E-07";"km/h";
"31988.68818";"Speed (GPS)";"0";"km/h";
"31988.71618";"[BMS] Lowest voltage cell value";"3.316";"V";
"31988.83118";"[BMS] Highest voltage cell #";"172";"";
"31988.94518";"[BMS] Highest voltage cell value";"3.322";"V";
"31989.07918";"[BMS] Charge times";"185";"";
"31989.24318";"[BMS] Times off full power [second-rate]";"38";"";
"31989.42718";"[BMS] State of charge actual";"77.3";"%";
"31989.44818";"Altitude (GPS)";"10.5518798828125";"m";
"31989.44818";"Average speed (GPS)";"5.02437748275364E-07";"km/h";
"31989.44818";"Speed (GPS)";"0";"km/h";
"31990.42318";"[BMS] Battery total current";"0";"A";
"31990.56918";"[BMS] Battery total voltage";"664";"V";
"31990.56918";"HV EV Battery Power";"0";"kW";
"31990.68218";"[BMS] Lowest temperature cell value";"30";"℃";
"31990.89618";"[BMS] Highest temperature cell value";"31";"℃";
"31991.97518";"[LVBMS] 12V Battery voltage";"13.3";"V";
"31992.36418";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"31992.49718";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"31992.70118";"[BMS] Accumulated charge energy";"4988";"kWh";
"31992.81418";"[BMS] Accumulated discharge energy";"4963";"kWh";
"31993.96118";"[BMS] Lowest voltage cell #";"200";"";
"31994.24618";"[BMS] Lowest voltage cell value";"3.317";"V";
"31994.35918";"[BMS] Highest voltage cell #";"170";"";
"31994.47118";"[BMS] Highest voltage cell value";"3.321";"V";
"31994.65518";"[BMS] Charge times";"185";"";
"31994.77718";"[BMS] Times off full power [second-rate]";"38";"";
"31994.92118";"[BMS] State of charge actual";"77.3";"%";
"31995.93618";"[BMS] Battery total current";"0";"A";
"31996.14318";"[BMS] Battery total voltage";"664";"V";
"31996.14318";"HV EV Battery Power";"0";"kW";
"31996.26818";"[BMS] Lowest temperature cell value";"30";"℃";
"31996.40318";"[BMS] Highest temperature cell value";"31";"℃";
"31996.84718";"Altitude (GPS)";"2.5";"m";
"31996.84718";"Altitude (GPS)";"2.5";"m";
"31996.84718";"Average speed (GPS)";"3.42890024754971E-07";"km/h";
"31996.84718";"Average speed (GPS)";"3.42880237983277E-07";"km/h";
"31996.84718";"Speed (GPS)";"0";"km/h";
"31996.84718";"Speed (GPS)";"0";"km/h";
"31997.29118";"[LVBMS] 12V Battery voltage";"13.2";"V";
"31997.47718";"Altitude (GPS)";"9.07876586914063";"m";
"31997.47718";"Average speed (GPS)";"0.0511195995623529";"km/h";
"31997.47718";"Speed (GPS)";"1.94400007724762";"km/h";
"31997.47818";"Altitude (GPS)";"9.07876586914063";"m";
"31997.47818";"Average speed (GPS)";"0.0512017087316347";"km/h";
"31997.47818";"Speed (GPS)";"1.94400007724762";"km/h";
"31997.51218";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"31997.85018";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"31998.14118";"[BMS] Accumulated charge energy";"4988";"kWh";
"31998.26818";"[BMS] Accumulated discharge energy";"4963";"kWh";
"31998.46818";"Altitude (GPS)";"2.5";"m";
"31998.46818";"Average speed (GPS)";"0.147821625560263";"km/h";
"31998.46818";"Speed (GPS)";"2.48170788288116";"km/h";
"31999.25518";"[BMS] Lowest voltage cell #";"200";"";
"31999.37018";"[BMS] Lowest voltage cell value";"3.317";"V";
"31999.44718";"Altitude (GPS)";"8.25735473632813";"m";
"31999.44718";"Average speed (GPS)";"0.369482170654793";"km/h";
"31999.44718";"Speed (GPS)";"6.01199984550476";"km/h";
"31999.44818";"Altitude (GPS)";"8.25735473632813";"m";
"31999.44818";"Average speed (GPS)";"0.369567573484389";"km/h";
"31999.44818";"Speed (GPS)";"6.01199984550476";"km/h";
"31999.46118";"Altitude (GPS)";"2.5";"m";
"31999.46118";"Average speed (GPS)";"0.372476443203329";"km/h";
"31999.46118";"Speed (GPS)";"5.9980339050293";"km/h";
"31999.49718";"[BMS] Highest voltage cell #";"4";"";
"31999.64318";"[BMS] Highest voltage cell value";"3.322";"V";
"31999.91518";"[BMS] Charge times";"185";"";
"32000.03118";"[BMS] Times off full power [second-rate]";"38";"";
"32000.16818";"[BMS] State of charge actual";"77.3";"%";
"32001.05318";"[BMS] Battery total current";"0";"A";
"32001.20018";"[BMS] Battery total voltage";"664";"V";
"32001.20018";"HV EV Battery Power";"0";"kW";
"32001.43218";"[BMS] Lowest temperature cell value";"30";"℃";
"32001.55718";"[BMS] Highest temperature cell value";"31";"℃";
"32001.91818";"Altitude (GPS)";"2.40000009536743";"m";
"32001.91818";"Altitude (GPS)";"2.40000009536743";"m";
"32001.91818";"Average speed (GPS)";"0.340218586315879";"km/h";
"32001.91818";"Average speed (GPS)";"0.340217507003523";"km/h";
"32001.91818";"Speed (GPS)";"0";"km/h";
"32001.91818";"Speed (GPS)";"0";"km/h";
"32002.44518";"Altitude (GPS)";"10.8900451660156";"m";
"32002.44518";"Average speed (GPS)";"0.349761964006382";"km/h";
"32002.44518";"Speed (GPS)";"0.863999980688095";"km/h";
"32002.61218";"[LVBMS] 12V Battery voltage";"13.2";"V";
"32002.94218";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32003.16218";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"32003.36018";"[BMS] Accumulated charge energy";"4988";"kWh";
"32003.44318";"Altitude (GPS)";"11.0858459472656";"m";
"32003.44318";"Average speed (GPS)";"0.382555689912026";"km/h";
"32003.44318";"Speed (GPS)";"1.33200001716614";"km/h";
"32003.44718";"Altitude (GPS)";"2.40000009536743";"m";
"32003.44718";"Average speed (GPS)";"0.382691254082429";"km/h";
"32003.44718";"Speed (GPS)";"1.32955738306046";"km/h";
"32003.48518";"[BMS] Accumulated discharge energy";"4963";"kWh";
"32004.59618";"[BMS] Lowest voltage cell #";"200";"";
"32004.76318";"[BMS] Lowest voltage cell value";"3.317";"V";
"32004.92918";"[BMS] Highest voltage cell #";"170";"";
"32005.05418";"[BMS] Highest voltage cell value";"3.322";"V";
"32005.17918";"[BMS] Charge times";"185";"";
"32005.29418";"[BMS] Times off full power [second-rate]";"38";"";
"32005.51218";"[BMS] State of charge actual";"77.3";"%";
"32006.64618";"[BMS] Battery total current";"0";"A";
"32006.80418";"[BMS] Battery total voltage";"664";"V";
"32006.80418";"HV EV Battery Power";"0";"kW";
"32006.87318";"Altitude (GPS)";"2.40000009536743";"m";
"32006.87318";"Average speed (GPS)";"0.343348867825885";"km/h";
"32006.87318";"Speed (GPS)";"0";"km/h";
"32006.87418";"Altitude (GPS)";"2.40000009536743";"m";
"32006.87418";"Average speed (GPS)";"0.343336823780729";"km/h";
"32006.87418";"Speed (GPS)";"0";"km/h";
"32006.95018";"[BMS] Lowest temperature cell value";"30";"℃";
"32007.06418";"[BMS] Highest temperature cell value";"31";"℃";
"32007.45318";"Altitude (GPS)";"11.5345153808594";"m";
"32007.45318";"Average speed (GPS)";"0.337472669115741";"km/h";
"32007.45318";"Speed (GPS)";"0";"km/h";
"32007.92018";"[LVBMS] 12V Battery voltage";"13.2";"V";
"32008.13918";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32008.26618";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"32008.47018";"Altitude (GPS)";"2.40000009536743";"m";
"32008.47018";"Altitude (GPS)";"2.40000009536743";"m";
"32008.47018";"Average speed (GPS)";"0.344232329840505";"km/h";
"32008.47018";"Average speed (GPS)";"0.344235072935768";"km/h";
"32008.47018";"Speed (GPS)";"0.569630169868469";"km/h";
"32008.47018";"Speed (GPS)";"0.569630169868469";"km/h";
"32008.51818";"[BMS] Accumulated charge energy";"4988";"kWh";
"32008.62518";"[BMS] Accumulated discharge energy";"4963";"kWh";
"32009.44318";"Altitude (GPS)";"11.4130554199219";"m";
"32009.44318";"Average speed (GPS)";"0.355396572435193";"km/h";
"32009.44318";"Speed (GPS)";"0.755999976396561";"km/h";
"32009.44418";"Altitude (GPS)";"11.4130554199219";"m";
"32009.44418";"Average speed (GPS)";"0.355402866836577";"km/h";
"32009.44418";"Speed (GPS)";"0.755999976396561";"km/h";
"32009.45818";"Altitude (GPS)";"2.40000009536743";"m";
"32009.45818";"Average speed (GPS)";"0.355433737144701";"km/h";
"32009.45818";"Speed (GPS)";"0.436275887489319";"km/h";
